,id,label,review
15395,train_015409,0,"""Ối zời ơi, ngon quá xá luôn Ngon ngoài sức tưởng tượng Thik nhất sấu và mơ chua cay"" "
12865,train_012871,1,"""cho hỏi shop hàng  mình nhận được  roi   nhưng mjh ko lấy được ngày mjh muốn đổi có đc ko  Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém"" "
11574,train_011577,0,"""Rẻ mà đẹp rất ok "" "
2987,train_002987,1,"""Sách in thiếu chữ nửa trang giấy có các trang liên tiếp nhau thì cả mặt đều thiếu chữ Mình để lâu mới mang ra đọc nhưng đọc kiểu này thì ức chế quá  Mong tiki xem lại khi gửi hàng cho khách  Cảm ơn nhiều"" "
4779,train_004779,1,"""Mới bỏ vào máy giặt có 1 lần đã hư rồi  Chất lượng không được tốt"" "
1435,train_001435,0,""" Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Sp chưa dùng chưa biết chất lượng "" "
807,train_000807,1,"""Hủ nhỏ quá "" "
12254,train_012258,0,"""Hàng chuẩn ảnh "" "
11055,train_011058,1,"""Wa bé và mức nhiệt k toả đều"" "
587,train_000587,1,"""Hàng nhái  From giầy kg đẹp  Phù hợp với giá tiền đã giảm  Chứ kg như hàng quãng cáo  Đóng gói sản phẩm rất đẹp và chắc chắn"" "
7136,train_007137,0,"""Giày khá đẹp nhé   giống trong ảnh   "" "
9515,train_009517,1,"""Thật sự là bị rảnh tiền Tết quá nên mới mua quyển này đọc được một phần ba quyển thật sự không muốn đọc tiếp nữa  Ở ngoài bìa có một câu nói khiến tôi rất tâm đắc nên cứ nghĩ là truyện sẽ rất hay ai ngờ lại làm tôi thất vọng  Cách viết thật sự quá chán, hay có những câu mang tính triết lý nhưng lại không hề triết lý tí nào, kiểu dùng từ hoa mĩ một cách tùy tiện vậy  Tạm không xét đến lời văn  Tôi chỉ muốn hỏi, tại sao tính cách của nhân vật chính trong truyện """"lộn xộn"""" như vậy? Tôi không thấy sự quyết đoán, dứt khoát nên có của quân nhân trong nữ chính, mà chỉ thấy cô ấy hay do dự, lằng nhằng, suy nghĩ lúc thế này lúc thế nọ  Cô có thể vì """"cảm giác tội lỗi"""" với em mình liền buông bỏ tình yêu mười mấy năm, sau đó kết hôn rồi rung động với nam chính không biết bao nhiêu lần, cuối cùng, lại vì """"cảm giác tội lỗi"""" mà muốn ly hôn quay lại với nam phụ  Kiểu thánh mẫu này không phải quá quen thuộc rồi sao? Còn nam chính, lạnh lùng, lại là lạnh lùng  Thật ra lạnh lùng thì cũng được thôi, nhưng xin đừng thêm giảo hoạt, dịu dàng, trẻ con,    vào nữa, không như thế thì không thể diễn tả những yêu thương của anh dành cho nữ chính ư? Hà Dĩ Thâm trong Bên nhau trọn đời cũng là kiểu người trầm tính, nhưng anh đâu cần biến đổi nhân cách của mình để người đọc cảm nhận được tình yêu sâu đậm của anh? Nội dung, sao vẫn là cái kiểu đổ đầy màu chó vẫn không vừa lòng ấy? Yêu thầm từ nhỏ thì cũng thôi đi, nhưng nam chính đã hết ám chỉ đến công khai không biết bao nhiêu lần, nữ chính là con ngốc hay sao mà mãi vẫn không biết tình cảm anh dành cho mình vậy? Muốn kéo dài câu chuyện thì cũng nên làm cho nó hợp lý một chút đi, cứ cho mấy cái tình huống quen thuộc lại không thực tế, kiểu vừa đọc được một đoạn đã đoán được kết cục thật sự là nản lắm rồi  "" "
2078,train_002078,0,"""Shop uy tin va nhiet tinh Dep dep va dog goi ok can than"" "
6678,train_006679,0,"""Shop phục vụ rất tốt đồng hồ quá xinh lại săn đc giá deal chúc shop mua may bán đắt nhé"" "
10308,train_010311,1,"""kích thước bi quá nhỏ nhỏ hơn trong hình nhiều nhưng 3mm chắc đúng tại mình ko đọc kĩ"" "
4712,train_004712,1,"""Bạn giao hàng chỉ vì khách hàng không kịp trả lời tin nhắn mà nói với khách hàng với vẻ mặt và thái độ không hề lịch sự như trách mắng"" "
7693,train_007694,0,""" Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn có ít hàng mà đóng hộp bự chà bá gấp đôi hàng"" "
11945,train_011948,1,"""Full cái đéo dì hở cả đống da như cái lồn què"" "
6864,train_006865,0,"""Phấn nhìu tốt hơn so vs mình nghĩ"" "
5613,train_005614,1,"""Nút ấn mở hay bị bật ra  "" "
11882,train_011885,0,"""Hàng rất chắc chắn ok sao hàng tốt vậy lại có 1 số ngừoi co 1 sao nhỉ  Khó hiểu "" "
8043,train_008044,1,"""Chất lượng hàng kém nhận hàng xong bật lên đã lỗi  Không hài lòng về sản phẩm khiếu nại trên shopee zalo theo hướng dẫn 45 ngày sau mới trả lời  Tóm lại là kém "" "
2592,train_002592,0,"""Lần đầu mua hàng của shop và rất thích vì giao hàng nhanh gói chắc chắn  Trước khi giao shop còn chụp hình  để khách yên tâm về sản phẩm mình mua sẽ tiếp tục ủng hộ shop ♥️"" "
11571,train_011574,0,""" Chất lượng sản phẩm tuyệt vời và đang mình đặt 1 chiếc nữa "" "
5575,train_005576,1,"""Hàng không chuẩn/ đi không vừa"" "
10438,train_010441,0,"""Đế hơi cứng ạ n dù sao cg đẹp 😄"" "
2590,train_002590,0,"""Y hình giá rẻ ok XD"" "
8251,train_008252,0,"""Hàng đẹp mình đang cần đôi như vậy Ok "" "
5404,train_005405,1,"""Sp chả giống hình"" "
1682,train_001682,0,"""hehehe :))"" "
4443,train_004443,0,"""""Giá này mà có snapdragon + ram 2G thêm cái camera selfie chuẩn thì ngon quá mà mấy bác còn so sánh :))"""" "
1719,train_001719,0,""" Thời gian giao hàng hơi lâu  "" "
13149,train_013157,0,"""Đắt hơn nơi khác nhưng chấp nhận vì sản phẩm chuẩn "" "
11335,train_011338,1,"""Baep cung ok voi gia tien  Co 1 ben bi loi nau den noi nhu nau bep cui  Nhung ngai doi di doi lai nen nau 1 ben"" "
8877,train_008879,0,""" Thời gian giao hàng rất nhanh  HÀI LÒNG "" "
5810,train_005811,1,"""Giao sai ma ko co trach nhiem gi het  Ai giam mua hang nua"" "
1833,train_001833,1,"""Âm thanh tai không rõ nút điều chỉnh âm lượng bị hư "" "
8384,train_008385,0,"""Giá cả phải chăng mà chất lượng rất tốt  Ủng hộ shop dài dài"" "
7106,train_007107,0,"""Dùng được nhé "" "
7656,train_007657,1,"""Hộp chai cũ dính keo đầyHSD 24 tháng nhưng khi mình nhận hàng chỉ còn 5 tháng nữa là hết hạn, trong khi tiki luôn cam kết hàng luôn còn khoảng 50% hạn sử dụng Mình mua hàng tiki rất nhiều nhưng càng ngày làm mình càng thất vọng về tiki"" "
14282,train_014295,0,"""Tốt - Fw V5 Ngon - Ủng hộ shop tiếp"" "
136,train_000136,0,""" Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt   Chất lượng sản phẩm tuyệt vời  Lần sau mình sẽ ủng hộ tiếp !"" "
6125,train_006126,1,"""Shop gửi không đúng size      Lại bỏ xó và đi mua thêm đôi dép mới "" "
8996,train_008998,0,"""giao hàng nhanh đóng gói cẩn thận"" "
11162,train_011165,0,"""Chất lượng sản phẩm tuyệt vời thanks shop đã lên deal!"" "
8918,train_008920,0,""" Đóng gói sản phẩm rất đẹp và chắc chắn  Không biết nội địa chuẩn không mình dùng thấy ok sẽ ủng hộ shop dài dài"" "
6863,train_006864,1,"""tin tưởng tiki nên cho người nhà nhận hànggiờ giao thiếu 1 cuốn chỉ có mỗi tập 2 mà tính đủ tiền là sao"" "
8761,train_008762,0,"""Giày mềm đẹp đi rất êm chân mà lại rẻ nữa rất thích"" "
2289,train_002289,0,"""Shop đóng gói sản phẩm rất chắc chắn  Đồng hồ rất đẹp y như hình  Còn được tặng thêm pin  Thời gian giao hàng cũng rất nhanh  Giá cả vừa túi tiền  Sẽ ủng hộ shop dài lâu😘"" "
2846,train_002846,1,"""giao hàng nhầm mẫu nhưng mãi k đổi hang cho khách"" "
7964,train_007965,0,""" Chất lượng sản phẩm tuyệt vời Giao siêu nhanh  Tối đặt mà sáng sớm đã giao rồi"" "
9320,train_009322,0,""" Đóng gói sản phẩm rất đẹp và chắc chắn Sp cũng đc chứ chưa đc ưng mấy"" "
1095,train_001095,0,"""Giao hàng rất  nhanh "" "
16068,train_016082,1,"""Chẳng biết là Shop có biết đọc hay không mua ốp có mỗi 3 mầu xanh - đen - đỏ  Ngta đã inbox hỏi rõ là còn hàng không kêu có mà đặt 2 cái 1 đen 1 xanh ghi chú rõ xong gửi 1 đỏ 1 xanh chán đời - về học lại chữ đi"" "
13281,train_013290,0,"""Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Sẽ feedback chất lượng sau ;) "" "
7481,train_007482,0,""" Shop phục vụ rất tốt tư vấn nhiệt tình có hoá đơn photo  Cám ơn shop nhé!"" "
1872,train_001872,0,"""mình rất hài  lòng với sản phẩm Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh "" "
14991,train_015005,0,""" Chất lượng sản phẩm tuyệt vời!  Đóng gói sản phẩm rất đẹp và chắc chắn 😍   Shop phục vụ rất tốt 🤗   Rất đáng tiền 😻 😻  "" "
14400,train_014413,1,"""shop ơi tại sao trong cối xay của mình có nước vậy ? bên bạn test hàng trước khi gửi hay sao ? nếu test phải lâu cho sạch chứ "" "
3317,train_003317,0,"""Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn  Áo đẹp sẽ ủng hộ tiếp"" "
7442,train_007443,0,""" Chất lượng sản phẩm tuyệt vời  Dày dặn màu đẹp"" "
1930,train_001930,0,"""Hài lòng ! "" "
9546,train_009548,0,"""Được đẹp hài lòng tặng shop 5 sao luôn "" "
3228,train_003228,0,"""""Sony chất lượng ảnh tốt hơn thì phải """" "
14671,train_014684,0,"""Tốt lắm"" "
4438,train_004438,1,"""_ Nhỏ gọn- Độ trễ ít - Thời gian sử dụng pin chưa nhiều"" "
13812,train_013823,1,"""Đề có khuyến mãi mà giao trong hoá đơn không có! Đề nghị tiki xem xét lại"" "
656,train_000656,0,"""Dùng rất ok  Nhưng mình thấy hơi nhỏ!"" "
10667,train_010670,1,"""Tôi không biếtnói như thế nào?đúng là nhìn như vậy không phải như vậy!tạm biệt shopee "" "
14308,train_014321,1,"""Không giao bao đựng cho mình giao nhầm hàng đổi trả thì lằng nhằng chán  "" "
2057,train_002057,0,"""Hàng đẹp chuẩn ảnh 😍"" "
10445,train_010448,1,""" Shop phục vụ rất kém báo là k cài đc xong shop bảo sẽ báo nhân viên kỹ thuật mà chờ mòn răng k thấy nhân viên kỹ thuật tư vấn phí tiền bây h vứt không một xó "" "
3116,train_003116,1,"""Không tìm thấy hạn sử dụng đâu cả nên mình không dám dùng"" "
2080,train_002080,0,"""Tốt giá rẻ chủ shop dễ thương tư vấn nhiệt tình e hài lòng "" "
6176,train_006177,1,"""thiếu dây ở gậy &quot;seo phi&quot;"" "
8933,train_008935,1,"""Thiết nghĩ tiki nên ghi rõ đâu là sách giãm giá đâu là sách xã hàng thấy mn nói hay mua về ai dè có dấu mộc của nhà xuất bản trẻ thường chỉ dùng cho sách củ hay sách xã hàng  "" "
12809,train_012815,0,""" Chất lượng sản phẩm tuyệt vời nhưng giao diện tiếng Trung khó thao tác "" "
9843,train_009846,1,"""không ngon khô có vẻ cũ nhìn không hấp dẫn chút nào"" "
559,train_000559,0,""" Chất lượng sản phẩm tuyệt vời  đạt dày đen shop lại gửi trắng   shop rep ib em   em muốn sỉ dày ạ"" "
7794,train_007795,0,""" Chất lượng sản phẩm tuyệt vời so vs tầm giá này"" "
15873,train_015887,1,"""Nhìn cũng đc mùi keo kinh khủng"" "
963,train_000963,0,"""Hàng đẹp màu đẹp lắm chất son cx rất ok ko bịt khô môi cx khá lì nữa  Thời gian giao hàng rất nhanh Shop phục vụ rất tốt"" "
9254,train_009256,1,"""Giao hàng chậm nhắn tin hỏi thời gian giao thì ko trả lời tới khi mình huỷ hàng thì shop từ chối huỷ hàng rồi gửi hàng cho mình  Ko hài lòng với cách phục vụ của shop  "" "
13340,train_013350,0,"""Giày đẹp chỉ sợ rách mấy lỗ xỏ giày thôi"" "
5265,train_005266,0,"""Giao hàng nhanh hàng gần như mới lắp phát ăn luân chơi lien minh tốt hang tốt"" "
12656,train_012662,0,""" Thời gian giao hàng rất nhanh  Rất đáng tiền Vải mặc bao êm luôn màu cũng giống hình nữa nếu có dịp sẽ ủng hộ tiếp ^^"" "
6899,train_006900,1,""" Shop phục vụ rất kém Thời gian giao hàng rất chậm Rất không đáng tiền Shop phục vụ rất kém Đóng gói sản phẩm rất kém"" "
8367,train_008368,1,"""sản phẩm có nhiều lỗi  không chắc chắn phần nhựa cán cầm nhẹ không có cảm giác chắc tay  lò xo mới dùng có 1 tuần đã bung ra  kéo không cắt được các cành to hơn ngón tay  thanh kéo dễ bị dắt  kết là thất vọng"" "
9017,train_009019,0,"""Hơi ngọt so với khẩu vị mình cay vừa bánh tráng cuốn dày nên nếu vận chuyển lâu thì bánh dễ khô cứng  Nhưng shop trả lời dễ thương  7/10"" "
